Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,14,4,Some Random Commen with Id 0
1,0,2,138,1,Some Random Commen with Id 1
2,1,4,182,3,Some Random Commen with Id 2
3,1,4,140,5,Some Random Commen with Id 3
4,1,4,197,1,Some Random Commen with Id 4
5,1,4,91,7,Some Random Commen with Id 5
6,1,4,113,5,Some Random Commen with Id 6
7,1,4,171,1,Some Random Commen with Id 7
8,2,7,147,9,Some Random Commen with Id 8
9,2,7,18,3,Some Random Commen with Id 9
10,2,7,21,6,Some Random Commen with Id 10
11,2,7,112,3,Some Random Commen with Id 11
12,2,7,89,8,Some Random Commen with Id 12
13,2,7,50,9,Some Random Commen with Id 13
14,2,7,118,1,Some Random Commen with Id 14
15,2,7,83,8,Some Random Commen with Id 15
16,2,7,139,0,Some Random Commen with Id 16
17,3,8,164,1,Some Random Commen with Id 17
18,3,8,142,4,Some Random Commen with Id 18
19,3,8,104,1,Some Random Commen with Id 19
20,3,8,38,3,Some Random Commen with Id 20
21,3,8,167,8,Some Random Commen with Id 21
22,3,8,146,2,Some Random Commen with Id 22
23,3,8,129,0,Some Random Commen with Id 23
24,3,8,175,9,Some Random Commen with Id 24
25,3,8,90,6,Some Random Commen with Id 25
26,4,1,105,5,Some Random Commen with Id 26
27,4,1,178,7,Some Random Commen with Id 27
28,4,1,32,2,Some Random Commen with Id 28
29,4,1,131,2,Some Random Commen with Id 29
30,4,1,158,5,Some Random Commen with Id 30
31,4,1,18,9,Some Random Commen with Id 31
32,5,3,48,4,Some Random Commen with Id 32
33,5,3,101,5,Some Random Commen with Id 33
34,5,3,131,0,Some Random Commen with Id 34
35,5,3,32,3,Some Random Commen with Id 35
36,5,3,99,4,Some Random Commen with Id 36
37,5,3,0,5,Some Random Commen with Id 37
38,5,3,87,5,Some Random Commen with Id 38
39,6,4,181,5,Some Random Commen with Id 39
40,6,4,99,7,Some Random Commen with Id 40
41,6,4,166,7,Some Random Commen with Id 41
42,6,4,144,8,Some Random Commen with Id 42
43,7,1,115,7,Some Random Commen with Id 43
44,8,4,97,0,Some Random Commen with Id 44
45,8,4,143,1,Some Random Commen with Id 45
46,8,4,77,6,Some Random Commen with Id 46
47,8,4,110,5,Some Random Commen with Id 47
48,8,4,144,3,Some Random Commen with Id 48
49,8,4,67,7,Some Random Commen with Id 49
50,8,4,141,2,Some Random Commen with Id 50
51,8,4,172,6,Some Random Commen with Id 51
52,8,4,111,0,Some Random Commen with Id 52
53,9,3,27,6,Some Random Commen with Id 53
54,9,3,33,8,Some Random Commen with Id 54
55,9,3,26,9,Some Random Commen with Id 55
56,9,3,83,5,Some Random Commen with Id 56
57,9,3,167,6,Some Random Commen with Id 57
58,9,3,118,9,Some Random Commen with Id 58
59,9,3,159,1,Some Random Commen with Id 59
60,9,3,158,1,Some Random Commen with Id 60
61,9,3,38,4,Some Random Commen with Id 61
62,11,3,52,3,Some Random Commen with Id 62
63,11,3,1,7,Some Random Commen with Id 63
64,12,2,144,5,Some Random Commen with Id 64
65,12,2,20,2,Some Random Commen with Id 65
66,12,2,85,8,Some Random Commen with Id 66
67,13,6,163,2,Some Random Commen with Id 67
68,14,8,141,5,Some Random Commen with Id 68
69,14,8,20,1,Some Random Commen with Id 69
70,14,8,164,0,Some Random Commen with Id 70
71,14,8,26,7,Some Random Commen with Id 71
72,14,8,114,2,Some Random Commen with Id 72
73,14,8,130,4,Some Random Commen with Id 73
74,14,8,179,5,Some Random Commen with Id 74
75,14,8,42,0,Some Random Commen with Id 75
76,15,5,50,9,Some Random Commen with Id 76
77,15,5,34,8,Some Random Commen with Id 77
78,15,5,11,1,Some Random Commen with Id 78
79,15,5,148,0,Some Random Commen with Id 79
80,15,5,131,9,Some Random Commen with Id 80
81,15,5,158,4,Some Random Commen with Id 81
82,16,0,195,5,Some Random Commen with Id 82
83,16,0,42,0,Some Random Commen with Id 83
84,16,0,4,0,Some Random Commen with Id 84
85,16,0,62,9,Some Random Commen with Id 85
86,16,0,117,5,Some Random Commen with Id 86
87,16,0,68,4,Some Random Commen with Id 87
88,16,0,196,1,Some Random Commen with Id 88
89,16,0,130,6,Some Random Commen with Id 89
90,17,7,49,4,Some Random Commen with Id 90
91,17,7,193,5,Some Random Commen with Id 91
92,17,7,93,7,Some Random Commen with Id 92
93,17,7,109,7,Some Random Commen with Id 93
94,17,7,155,5,Some Random Commen with Id 94
95,17,7,71,5,Some Random Commen with Id 95
96,17,7,195,6,Some Random Commen with Id 96
97,18,3,196,5,Some Random Commen with Id 97
98,18,3,83,8,Some Random Commen with Id 98
99,19,2,133,8,Some Random Commen with Id 99
100,19,2,163,7,Some Random Commen with Id 100
101,19,2,118,9,Some Random Commen with Id 101
102,20,5,172,1,Some Random Commen with Id 102
103,20,5,23,9,Some Random Commen with Id 103
104,21,0,86,4,Some Random Commen with Id 104
105,22,8,25,9,Some Random Commen with Id 105
106,23,4,60,6,Some Random Commen with Id 106
107,23,4,34,8,Some Random Commen with Id 107
108,24,4,182,0,Some Random Commen with Id 108
109,24,4,48,1,Some Random Commen with Id 109
110,25,0,155,0,Some Random Commen with Id 110
111,25,0,148,6,Some Random Commen with Id 111
112,25,0,134,6,Some Random Commen with Id 112
113,25,0,60,0,Some Random Commen with Id 113
114,25,0,71,4,Some Random Commen with Id 114
115,25,0,120,1,Some Random Commen with Id 115
116,25,0,137,2,Some Random Commen with Id 116
117,25,0,181,0,Some Random Commen with Id 117
118,25,0,27,0,Some Random Commen with Id 118
119,26,4,129,6,Some Random Commen with Id 119
120,26,4,100,5,Some Random Commen with Id 120
121,26,4,52,7,Some Random Commen with Id 121
122,26,4,96,7,Some Random Commen with Id 122
123,26,4,69,7,Some Random Commen with Id 123
124,26,4,71,2,Some Random Commen with Id 124
125,26,4,16,7,Some Random Commen with Id 125
126,26,4,195,2,Some Random Commen with Id 126
127,27,7,185,7,Some Random Commen with Id 127
128,27,7,156,5,Some Random Commen with Id 128
129,28,3,178,0,Some Random Commen with Id 129
130,28,3,132,6,Some Random Commen with Id 130
131,28,3,84,1,Some Random Commen with Id 131
132,28,3,72,5,Some Random Commen with Id 132
133,28,3,102,6,Some Random Commen with Id 133
134,29,0,187,7,Some Random Commen with Id 134
135,29,0,117,6,Some Random Commen with Id 135
136,29,0,172,1,Some Random Commen with Id 136
137,29,0,138,3,Some Random Commen with Id 137
138,29,0,197,7,Some Random Commen with Id 138
139,29,0,141,3,Some Random Commen with Id 139
