Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,115,6,Some Random Commen with Id 0
1,0,7,149,8,Some Random Commen with Id 1
2,0,7,138,9,Some Random Commen with Id 2
3,0,7,94,7,Some Random Commen with Id 3
4,2,1,190,2,Some Random Commen with Id 4
5,2,1,144,0,Some Random Commen with Id 5
6,2,1,164,9,Some Random Commen with Id 6
7,4,7,3,6,Some Random Commen with Id 7
8,4,7,112,3,Some Random Commen with Id 8
9,4,7,70,5,Some Random Commen with Id 9
10,4,7,193,6,Some Random Commen with Id 10
11,4,7,40,7,Some Random Commen with Id 11
12,4,7,171,3,Some Random Commen with Id 12
13,4,7,76,1,Some Random Commen with Id 13
14,5,2,38,8,Some Random Commen with Id 14
15,5,2,52,5,Some Random Commen with Id 15
16,5,2,97,4,Some Random Commen with Id 16
17,5,2,190,4,Some Random Commen with Id 17
18,5,2,161,6,Some Random Commen with Id 18
19,5,2,123,1,Some Random Commen with Id 19
20,5,2,180,2,Some Random Commen with Id 20
21,6,1,18,7,Some Random Commen with Id 21
22,6,1,155,9,Some Random Commen with Id 22
23,6,1,182,4,Some Random Commen with Id 23
24,6,1,195,3,Some Random Commen with Id 24
25,6,1,77,7,Some Random Commen with Id 25
26,7,5,44,6,Some Random Commen with Id 26
27,7,5,160,2,Some Random Commen with Id 27
28,7,5,62,9,Some Random Commen with Id 28
29,7,5,111,8,Some Random Commen with Id 29
30,7,5,170,8,Some Random Commen with Id 30
31,7,5,162,5,Some Random Commen with Id 31
32,7,5,51,4,Some Random Commen with Id 32
33,9,1,81,9,Some Random Commen with Id 33
34,9,1,140,8,Some Random Commen with Id 34
35,9,1,120,5,Some Random Commen with Id 35
36,9,1,161,7,Some Random Commen with Id 36
37,9,1,115,9,Some Random Commen with Id 37
38,10,0,181,3,Some Random Commen with Id 38
39,10,0,23,2,Some Random Commen with Id 39
40,10,0,188,3,Some Random Commen with Id 40
41,10,0,83,7,Some Random Commen with Id 41
42,10,0,127,0,Some Random Commen with Id 42
43,11,4,174,0,Some Random Commen with Id 43
44,11,4,98,9,Some Random Commen with Id 44
45,11,4,112,0,Some Random Commen with Id 45
46,11,4,147,9,Some Random Commen with Id 46
47,13,1,43,3,Some Random Commen with Id 47
48,13,1,59,7,Some Random Commen with Id 48
49,13,1,173,9,Some Random Commen with Id 49
50,13,1,22,9,Some Random Commen with Id 50
51,13,1,29,5,Some Random Commen with Id 51
52,13,1,170,6,Some Random Commen with Id 52
53,13,1,132,7,Some Random Commen with Id 53
54,13,1,168,1,Some Random Commen with Id 54
55,13,1,174,9,Some Random Commen with Id 55
56,14,7,55,0,Some Random Commen with Id 56
57,15,2,85,5,Some Random Commen with Id 57
58,15,2,160,5,Some Random Commen with Id 58
59,15,2,185,5,Some Random Commen with Id 59
60,15,2,176,8,Some Random Commen with Id 60
61,15,2,143,0,Some Random Commen with Id 61
62,15,2,48,9,Some Random Commen with Id 62
63,15,2,37,6,Some Random Commen with Id 63
64,15,2,65,5,Some Random Commen with Id 64
65,15,2,1,5,Some Random Commen with Id 65
66,16,4,74,4,Some Random Commen with Id 66
67,16,4,58,2,Some Random Commen with Id 67
68,16,4,9,2,Some Random Commen with Id 68
69,16,4,195,5,Some Random Commen with Id 69
70,17,4,138,9,Some Random Commen with Id 70
71,17,4,32,1,Some Random Commen with Id 71
72,17,4,115,6,Some Random Commen with Id 72
73,17,4,65,2,Some Random Commen with Id 73
74,17,4,170,0,Some Random Commen with Id 74
75,18,0,164,2,Some Random Commen with Id 75
76,18,0,40,3,Some Random Commen with Id 76
77,18,0,76,7,Some Random Commen with Id 77
